#   max_th 15
# time red_drops red_traffic red_ratio mred_drops mred_traffic  mred_ratio
# 
# 
452  29 29 0 0 21 1
453  7 7 0 24 24 0
454  45 45 0 38 38 0
455  19 19 0 0 14 1
456  29 29 0 24 24 0
457  19 19 0 0 23 1
458  12 12 0 38 38 0
459  10 10 0 26 26 0
460  7 7 0 0 7 1
461  25 25 0 0 15 1
462  4 4 0 0 15 1
463  30 30 0 26 26 0
464  16 16 0 40 40 0
465  29 29 0 0 17 1
466  19 19 0 0 15 1
467  19 19 0 37 37 0
468  26 26 0 0 17 1
469  12 12 0 41 41 0
470  23 23 0 45 45 0
471  12 12 0 33 33 0
472  11 11 0 0 27 1
473  12 12 0 0 10 1
474  19 19 0 30 30 0
475  34 34 0 24 24 0
476  37 37 0 1 18 0.944444444444444
477  28 28 0 0 23 1
478  24 24 0 0 12 1
479  4 4 0 30 30 0
480  28 28 0 0 14 1
481  45 45 0 0 3 1
482  45 45 0 0 27 1
483  20 20 0 0 23 1
484  25 25 0 26 26 0
485  21 21 0 26 26 0
486  9 9 0 28 28 0
487  42 42 0 37 37 0
488  12 12 0 0 27 1
489  25 25 0 0 5 1
490  36 36 0 26 26 0
491  19 19 0 0 23 1
492  45 45 0 26 26 0
493  26 26 0 0 19 1
494  4 4 0 29 29 0
495  21 21 0 37 37 0
496  29 29 0 38 38 0
497  12 12 0 20 20 0
498  14 14 0 0 7 1
499  14 14 0 24 24 0
500  30 30 0 26 26 0
501  24 24 0 0 8 1
502  15 15 0 42 42 0
503  16 16 0 0 17 1
504  38 38 0 0 12 1
505  19 19 0 29 29 0
506  31 31 0 0 12 1
507  24 24 0 26 26 0
508  12 12 0 26 26 0
509  26 26 0 0 8 1
510  24 24 0 0 3 1
511  14 14 0 33 33 0
512  18 18 0 26 26 0
513  24 24 0 26 26 0
514  26 26 0 28 28 0
515  17 17 0 0 23 1
516  12 12 0 16 16 0
517  31 31 0 0 17 1
518  21 21 0 26 26 0
519  41 41 0 0 21 1
520  45 45 0 0 23 1
521  14 14 0 30 30 0
522  41 41 0 33 33 0
523  35 35 0 1 18 0.944444444444444
524  7 7 0 16 16 0
525  26 26 0 29 29 0
526  24 24 0 0 4 1
527  19 19 0 0 27 1
528  16 16 0 0 7 1
529  24 24 0 38 38 0
530  19 19 0 0 23 1
531  24 24 0 0 14 1
532  23 23 0 0 31 1
533  19 19 0 37 37 0
534  16 16 0 0 7 1
535  8 8 0 0 17 1
536  42 42 0 0 21 1
537  18 18 0 24 24 0
538  26 26 0 0 12 1
539  12 12 0 0 10 1
540  37 37 0 30 30 0
541  21 21 0 0 23 1
542  24 24 0 0 19 1
543  33 33 0 0 31 1
544  45 45 0 42 42 0
545  33 33 0 33 33 0
546  8 8 0 0 7 1
547  19 19 0 0 0 0
548  7 7 0 0 12 1
549  30 30 0 0 4 1
550  37 37 0 24 24 0
551  21 21 0 26 26 0
552  26 26 0 0 3 1
553  18 18 0 30 30 0
554  23 23 0 0 12 1
555  30 30 0 0 27 1
556  21 21 0 0 14 1
557  24 24 0 26 26 0
558  30 30 0 0 21 1
559  35 35 0 30 30 0
560  24 24 0 37 37 0
561  29 29 0 0 3 1
562  12 12 0 36 36 0
563  41 41 0 40 40 0
564  15 15 0 20 20 0
565  22 22 0 0 18 1
566  19 19 0 0 17 1
567  31 31 0 40 40 0
568  26 26 0 0 14 1
569  33 33 0 38 38 0
570  22 22 0 25 25 0
571  15 15 0 0 23 1
572  45 45 0 0 14 1
573  41 41 0 26 26 0
574  22 22 0 0 21 1
575  8 8 0 0 9 1
576  12 12 0 37 37 0
577  31 31 0 41 41 0
578  38 38 0 26 26 0
579  19 19 0 0 8 1
580  37 37 0 0 12 1
581  14 14 0 0 5 1
582  24 24 0 26 26 0
583  21 21 0 16 16 0
584  29 29 0 0 19 1
585  31 31 0 0 34 1
586  10 10 0 24 24 0
587  24 24 0 0 12 1
588  12 12 0 38 38 0
589  4 4 0 28 28 0
590  33 33 0 0 12 1
591  24 24 0 0 18 1
592  24 24 0 0 7 1
593  15 15 0 26 26 0
594  21 21 0 0 0 0
595  7 7 0 0 27 1
596  17 17 0 24 24 0
597  16 16 0 0 15 1
598  33 33 0 30 30 0
599  38 38 0 0 15 1
600  36 36 0 26 26 0
601  30 30 0 1 18 0.944444444444444
602  21 21 0 41 41 0
603  9 9 0 0 19 1
604  21 21 0 0 21 1
605  41 41 0 0 12 1
606  12 12 0 30 30 0
607  12 12 0 22 22 0
608  16 16 0 24 24 0
609  8 8 0 0 12 1
610  15 15 0 0 14 1
611  26 26 0 0 12 1
612  15 15 0 41 41 0
613  4 4 0 16 16 0
614  27 27 0 0 19 1
615  22 22 0 0 12 1
616  36 36 0 26 26 0
617  21 21 0 0 21 1
618  25 25 0 22 22 0
619  21 21 0 0 10 1
620  16 16 0 45 45 0
621  24 24 0 16 16 0
622  26 26 0 0 9 1
623  24 24 0 0 31 1
624  42 42 0 30 30 0
625  30 30 0 26 26 0
626  31 31 0 28 28 0
627  24 24 0 25 25 0
628  0 0 0 0 19 1
629  41 41 0 28 28 0
630  22 22 0 0 34 1
631  4 4 0 0 21 1
632  3 3 0 22 22 0
633  19 19 0 28 28 0
634  8 8 0 0 3 1
635  30 30 0 22 22 0
